row,col,.value,N_header_label_01,N_header_label_02,N_header_label_03,W_header_label_01,W_header_label_02,W_header_label_03,W_header_label_04,W_header_label_05
62,2,89,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,"Medical physics, radiological science",NA
63,2,552,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,Nursing science,NA
64,2,292,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,Pharmaceutical sciences,NA
65,2,446,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,Public health,NA
66,2,86,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,"Rehabilitation, therapeutic services",NA
67,2,128,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,Speech-language pathology and audiology,NA
68,2,271,All doctorate recipientsa,NA,NA,All fields,Life sciences,Health sciences,"Health sciences, aggregated",NA
69,2,6081,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Health sciences,"Health sciences, aggregated",NA
70,2,2697,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,"Health sciences, aggregated",NA
71,2,367,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,Analytical chemistry,NA
72,2,142,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,Chemical biology,NA
73,2,339,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,Inorganic chemistry,NA
74,2,69,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,Medicinal chemistry,NA
75,2,523,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,Organic chemistry,NA
76,2,332,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,Physical chemistry,NA
77,2,152,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,Polymer chemistry,NA
78,2,85,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,Theoretical chemistry,NA
79,2,539,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, general",NA
80,2,149,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, other",NA
81,2,1165,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences","Chemistry, other",NA
82,2,243,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,NA
83,2,45,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric physics, meteorology"
84,2,198,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric chemistry, atmospheric sciences-general, atmospheric sciences-other"
85,2,576,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,NA
86,2,78,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geochemistry, mineralogy"
87,2,124,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geology
88,2,211,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geomorphology, geological sciences-general, geological sciences-other"
89,2,124,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geophysics and seismology
90,2,39,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Paleontology, stratigraphy"
91,2,346,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,NA
92,2,111,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,Marine biology and biological oceanography
93,2,70,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,"Oceanography, chemical and physical"
94,2,165,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,"Ocean/marine sciences, aggregated"
95,2,2219,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Ocean and marine sciences ,NA
96,2,336,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,NA
97,2,121,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,Astronomy
98,2,211,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,Astrophysics
99,2,4,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,"Astronomy and astrophysics, other"
100,2,1883,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,NA
101,2,213,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Acoustics, optics/photonics"
102,2,178,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Applied physics
103,2,157,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Atomic physics, polymer physics"
104,2,134,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Biophysics (physics)
105,2,343,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Condensed matter, low-temperature physics"
106,2,354,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Elementary particle physics
107,2,103,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Nuclear physics
108,2,65,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Plasma, high-temperature physics"
109,2,248,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Physics, general"
110,2,88,All doctorate recipientsa,NA,NA,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Physics, other"
111,2,3843,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Physics and astronomy ,Physics ,NA
112,2,1987,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Computer and information sciences,Physics ,NA
113,2,1587,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Computer and information sciences,Computer science,NA
114,2,162,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Computer and information sciences,"Information science, systems",NA
115,2,123,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, general",NA
116,2,115,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, other",NA
117,2,1856,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Mathematics and statistics ,"Computer and information sciences, other",NA
118,2,103,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Mathematics and statistics ,Algebra,NA
119,2,78,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Mathematics and statistics ,Analysis and functional analysis,NA
120,2,497,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Mathematics and statistics ,"Applied mathematics, computing theory",NA
121,2,63,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Mathematics and statistics ,"Geometry, geometric analysis",NA
122,2,62,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Mathematics and statistics ,"Logic, topology/foundations",NA
123,2,55,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Mathematics and statistics ,Number theory,NA
124,2,496,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Mathematics and statistics ,"Operations research, mathematics/statistics-general, mathematics/statistics-other",NA
125,2,502,All doctorate recipientsa,NA,NA,All fields,Mathematics and computer sciences,Mathematics and statistics ,Statistics (mathematics),NA
126,2,9079,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Mathematics and statistics ,Statistics (mathematics),NA
127,2,3960,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Statistics (mathematics),NA
128,2,51,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Behavioral analysis,NA
129,2,1149,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Clinical psychology,NA
130,2,199,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Cognitive neuroscience,NA
131,2,121,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Cognitive psychology and psycholinguistics,NA
132,2,38,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Community psychology,NA
133,2,317,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Counseling,NA
134,2,201,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Developmental and child psychology,NA
135,2,139,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Educational psychology (psychology),NA
136,2,159,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Experimental psychology,NA
137,2,211,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,"Family psychology, human development and family studies",NA
138,2,62,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,"Health, medical psychology",NA
139,2,191,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Industrial and organizational psychology,NA
140,2,74,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,"Marriage and family therapy, counseling",NA
141,2,42,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,"Neuropsychology, physiological psychology",NA
142,2,372,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,School psychology (psychology),NA
143,2,213,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,Social psychology,NA
144,2,140,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,"Psychology, general",NA
145,2,281,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Psychology ,"Psychology, aggregated",NA
146,2,5119,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,"Psychology, aggregated",NA
147,2,455,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Anthropology ,NA
148,2,261,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, cultural"
149,2,110,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, general"
150,2,84,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, physical and biological"
151,2,1237,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Economics ,NA
152,2,1184,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Economics ,"Econometrics, economics"
153,2,53,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Economics ,Natural resources and environmental economics (social sciences)
154,2,752,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Political science and government,NA
155,2,689,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Sociology,NA
156,2,1986,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,NA
157,2,97,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,"American, U.S. studies"
158,2,105,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Applied linguistics
159,2,168,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,"Area, ethnic, and cultural studies"
160,2,108,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Criminal justice and corrections
161,2,94,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Criminology
162,2,282,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,"Demography, gerontology, statistics, urban affairs, social sciences- general, social sciences-other"
163,2,49,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Gender and women's studies
164,2,284,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Geography
165,2,54,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Health policy analysis
166,2,149,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,"International relations, international affairs"
167,2,208,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Linguistics
168,2,240,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,Public policy analysis
169,2,148,All doctorate recipientsa,NA,NA,All fields,Psychology and social sciences,Social sciences ,Other social sciences,"Urban, city, community and regional planning"
170,2,9843,All doctorate recipientsa,NA,NA,All fields,Engineering,Social sciences ,Other social sciences,NA
171,2,378,All doctorate recipientsa,NA,NA,All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",Other social sciences,NA
172,2,1041,All doctorate recipientsa,NA,NA,All fields,Engineering,Bioengineering and biomedical engineering,Other social sciences,NA
173,2,936,All doctorate recipientsa,NA,NA,All fields,Engineering,Chemical engineering,Other social sciences,NA
174,2,741,All doctorate recipientsa,NA,NA,All fields,Engineering,Civil engineering,Other social sciences,NA
175,2,1900,All doctorate recipientsa,NA,NA,All fields,Engineering,"Electrical, electronics, and communications engineering",Other social sciences,NA
176,2,253,All doctorate recipientsa,NA,NA,All fields,Engineering,Industrial and manufacturing engineering,Other social sciences,NA
177,2,958,All doctorate recipientsa,NA,NA,All fields,Engineering,Materials science engineering,Other social sciences,NA
178,2,1409,All doctorate recipientsa,NA,NA,All fields,Engineering,Mechanical engineering,Other social sciences,NA
179,2,2227,All doctorate recipientsa,NA,NA,All fields,Engineering,Other engineering,Other social sciences,NA
180,2,419,All doctorate recipientsa,NA,NA,All fields,Engineering,Other engineering,Computer engineering,NA
181,2,221,All doctorate recipientsa,NA,NA,All fields,Engineering,Other engineering,"Environmental, environmental health engineering",NA
182,2,159,All doctorate recipientsa,NA,NA,All fields,Engineering,Other engineering,Nuclear engineering,NA
183,2,98,All doctorate recipientsa,NA,NA,All fields,Engineering,Other engineering,Robotics,NA
184,2,103,All doctorate recipientsa,NA,NA,All fields,Engineering,Other engineering,Structural engineering,NA
185,2,121,All doctorate recipientsa,NA,NA,All fields,Engineering,Other engineering,Systems engineering,NA
186,2,1106,All doctorate recipientsa,NA,NA,All fields,Engineering,Other engineering,"Other engineering, aggregated",NA
187,2,4823,All doctorate recipientsa,NA,NA,All fields,Education,Other engineering,"Other engineering, aggregated",NA
188,2,1023,All doctorate recipientsa,NA,NA,All fields,Education,Education administration,"Other engineering, aggregated",NA
189,2,176,All doctorate recipientsa,NA,NA,All fields,Education,Education administration,Educational administration and supervision,NA
190,2,172,All doctorate recipientsa,NA,NA,All fields,Education,Education administration,"Educational and human resource studies, development",NA
191,2,591,All doctorate recipientsa,NA,NA,All fields,Education,Education administration,Educational leadership,NA
192,2,84,All doctorate recipientsa,NA,NA,All fields,Education,Education administration,Urban education and leadership,NA
193,2,2405,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,Urban education and leadership,NA
194,2,269,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,"Counseling education, counseling and guidance",NA
195,2,514,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,Curriculum and instruction,NA
196,2,41,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,"Educational assessment, testing, measurement",NA
197,2,127,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,Educational policy analysis,NA
198,2,229,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,Educational psychology (education),NA
199,2,83,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,"Educational statistics, research methods",NA
200,2,252,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,"Educational/instructional technology, media design",NA
201,2,434,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,Higher education evaluation and research,NA
202,2,45,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,International education,NA
203,2,107,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,School psychology (education),NA
204,2,66,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,Social and philosophical foundations of education,NA
205,2,238,All doctorate recipientsa,NA,NA,All fields,Education,Education research ,Special education,NA
206,2,112,All doctorate recipientsa,NA,NA,All fields,Education,Teacher education,Special education,NA
207,2,908,All doctorate recipientsa,NA,NA,All fields,Education,Teaching fields ,Special education,NA
208,2,56,All doctorate recipientsa,NA,NA,All fields,Education,Teaching fields ,English as a second or foreign language,NA
209,2,65,All doctorate recipientsa,NA,NA,All fields,Education,Teaching fields ,Health education,NA
210,2,139,All doctorate recipientsa,NA,NA,All fields,Education,Teaching fields ,Literacy and reading education,NA
211,2,146,All doctorate recipientsa,NA,NA,All fields,Education,Teaching fields ,Mathematics education,NA
212,2,75,All doctorate recipientsa,NA,NA,All fields,Education,Teaching fields ,Music education,NA
213,2,101,All doctorate recipientsa,NA,NA,All fields,Education,Teaching fields ,Science education,NA
214,2,326,All doctorate recipientsa,NA,NA,All fields,Education,Teaching fields ,"Teaching fields, aggregated",NA
215,2,375,All doctorate recipientsa,NA,NA,All fields,Education,Other education ,"Teaching fields, aggregated",NA
216,2,60,All doctorate recipientsa,NA,NA,All fields,Education,Other education ,Workforce education and development,NA
217,2,145,All doctorate recipientsa,NA,NA,All fields,Education,Other education ,"Education, general",NA
218,2,170,All doctorate recipientsa,NA,NA,All fields,Education,Other education ,"Education, other",NA
219,2,5290,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Other education ,"Education, other",NA
220,2,624,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Foreign languages and literature,"Education, other",NA
221,2,92,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Foreign languages and literature,French,NA
222,2,72,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Foreign languages and literature,Germanic language and literature,NA
223,2,45,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Foreign languages and literature,Italian,NA
224,2,182,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Foreign languages and literature,Spanish language and literature,NA
225,2,233,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Foreign languages and literature,"Other languages, aggregated",NA
226,2,1066,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,History,"Other languages, aggregated",NA
227,2,368,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,History,"American history, United States and Canada",NA
228,2,55,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,History,Asian history,NA
229,2,173,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,History,European history,NA
230,2,160,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,History,"History, science and technology and society",NA
231,2,61,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,History,Latin American history,NA
232,2,70,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,History,"Middle, Near East history",NA
233,2,70,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,History,"History, general",NA
234,2,109,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,History,"History, aggregated",NA
235,2,1465,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Letters,"History, aggregated",NA
236,2,311,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Letters,"American literature, United States and Canada",NA
237,2,80,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Letters,Classics,NA
238,2,166,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Letters,Comparative literature,NA
239,2,159,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Letters,English language,NA
240,2,369,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Letters,"English literature, British and Commonwealth",NA
241,2,227,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Letters,Rhetoric and composition,NA
242,2,42,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Letters,Speech and rhetorical studies,NA
243,2,111,All doctorate recipientsa,NA,NA,All fields,Humanities and arts,Letters,"Letters, aggregated",NA
